symbol,chainId,chain,address,name,reviewReason
USDT,1,Ethereum,0x1cdd2eab61112697626f7b4bb0e23da4febf7b7c,USDT,Verify exact bridge/issuer identity and branding before alignment
USDT,10,Optimism,0x1217bfe6c773eec6cc4a38b5dc45b92292b6e189,Super USDT,Preserve Super USDT wrapper branding
USDT,25,Cronos,0x66e428c3f67a68878562e79a0234c1f83c208770,Tether USD,Verify exact bridge/issuer identity and branding before alignment
USDT,40,Telos,0x674843c06ff83502ddb4d37c2e09c01cda38cbc8,Bridged stgUSDT,Verify exact bridge/issuer identity and branding before alignment
USDT,40,Telos,0x975ed13fa16857e83e7c493c7741d556eaad4a3f,Tether USD,Verify exact bridge/issuer identity and branding before alignment
USDT,56,BNB Chain,0x55d398326f99059ff775485246999027b3197955,Tether USD,Verify exact bridge/issuer identity and branding before alignment
USDT,130,Unichain,0x1217bfe6c773eec6cc4a38b5dc45b92292b6e189,Super USDT,Preserve Super USDT wrapper branding
USDT,137,Polygon Mainnet,0x3553f861dec0257bada9f8ed268bf0d74e45e89c,USDT,Verify exact bridge/issuer identity and branding before alignment
USDT,137,Polygon Mainnet,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,(PoS) Tether USD,Verify exact bridge/issuer identity and branding before alignment
USDT,146,Sonic,0x6047828dc181963ba44974801ff68e538da5eaf9,Tether USD,Verify exact bridge/issuer identity and branding before alignment
USDT,252,Fraxtal,0x1217bfe6c773eec6cc4a38b5dc45b92292b6e189,Super USDT,Preserve Super USDT wrapper branding
USDT,252,Fraxtal,0x4d15ea9c2573addaed814e48c148b5262694646a,Tether USD,Verify exact bridge/issuer identity and branding before alignment
USDT,369,PulseChain,0x0cb6f5a34ad42ec934882a05265a7d5f59b51a2f,Tether USD from Ethereum,PulseChain fork or bridged asset; preserve distinct branding until exact identity is verified
USDT,369,PulseChain,0x279d6564a78cc9f126ec630e8a826dd55294f875,USDT,PulseChain fork or bridged asset; preserve distinct branding until exact identity is verified
USDT,369,PulseChain,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,PulseChain fork or bridged asset; preserve distinct branding until exact identity is verified
USDT,677,Botchain,0xababc7ddc03e501d190c676bf3d92ef0e6e87a3c,Tether USD,Verify exact bridge/issuer identity and branding before alignment
USDT,1135,Lisk,0x1217bfe6c773eec6cc4a38b5dc45b92292b6e189,Super USDT,Preserve Super USDT wrapper branding
USDT,1868,Soneium,0x1217bfe6c773eec6cc4a38b5dc45b92292b6e189,Super USDT,Preserve Super USDT wrapper branding
USDT,3338,Peaq,0xf4d9235269a96aadafc9adae454a0618ebe37949,Bridged stgUSDT,Verify exact bridge/issuer identity and branding before alignment
USDT,5000,Mantle,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,Tether USD,Verify exact bridge/issuer identity and branding before alignment
USDT,42161,Arbitrum,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,Tether USD,Verify exact bridge/issuer identity and branding before alignment
USDT,42793,Etherlink,0x2c03058c8afc06713be23e58d2febc8337dbfe6a,Tether USD,Verify exact bridge/issuer identity and branding before alignment
USDT,43111,Hemi,0xbb0d083fb1be0a9f6157ec484b6c79e0a4e31c2e,USDT,Verify exact bridge/issuer identity and branding before alignment
USDT,43114,Avalanche C-Chain,0xde3a24028580884448a5397872046a019649b084,Tether USD,Verify exact bridge/issuer identity and branding before alignment
USDT,534352,Scroll,0xf55bec9cafdbe8730f096aa55dad6d22d44099df,Tether USD,Verify exact bridge/issuer identity and branding before alignment
WETH,25,Cronos,0xe44fd7fcb2b1581822d0c862b68222998a0c299a,Wrapped Ether,Verify exact bridge/issuer identity and branding before alignment
WETH,25,Cronos,0xf44acfdc916898449e39062934c2b496799b6abe,WETH,Verify exact bridge/issuer identity and branding before alignment
WETH,40,Telos,0xbab93b7ad7fe8692a878b95a8e689423437cc500,WETH,Verify exact bridge/issuer identity and branding before alignment
WETH,56,BNB Chain,0x4db5a66e937a9f4473fa95b1caf1d1e1d62e29ea,Wrapped Ether,Verify exact bridge/issuer identity and branding before alignment
WETH,137,Polygon Mainnet,0x11cd37bb86f65419713f30673a480ea33c826872,Wrapped Ether,Verify exact bridge/issuer identity and branding before alignment
WETH,137,Polygon Mainnet,0x4c28f48448720e9000907bc2611f73022fdce1fa,Wrapped Ether,Verify exact bridge/issuer identity and branding before alignment
WETH,369,PulseChain,0x02dcdd04e3f455d838cd1249292c58f3b79e3c3c,Wrapped Ether from Ethereum,PulseChain fork or bridged asset; preserve distinct branding until exact identity is verified
WETH,369,PulseChain,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,PulseChain fork or bridged asset; preserve distinct branding until exact identity is verified
WETH,4663,Robinhood,0x0bd7d308f8e1639fab988df18a8011f41eacad73,WETH,Verify exact bridge/issuer identity and branding before alignment
WETH,42793,Etherlink,0xfc24f770f94edbca6d6f885e12d4317320bcb401,Wrapped Ether,Verify exact bridge/issuer identity and branding before alignment
WETH,43111,Hemi,0x4200000000000000000000000000000000000006,Wrapped Ether,Verify exact bridge/issuer identity and branding before alignment
WETH,43114,Avalanche C-Chain,0x8b82a291f83ca07af22120aba21632088fc92931,Wrapped Ether,Verify exact bridge/issuer identity and branding before alignment
WETH,80094,Berachain,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,WETH,Verify exact bridge/issuer identity and branding before alignment
USDC,10,Optimism,0x7f5c764cbc14f9669b88837ca1490cca17c31607,USD Coin,Verify exact bridge/issuer identity and branding before alignment
USDC,25,Cronos,0xc21223249ca28397b4b6541dffaecc539bff0c59,USD Coin,Verify exact bridge/issuer identity and branding before alignment
USDC,40,Telos,0x8d97cea50351fb4329d591682b148d43a0c3611b,USD Coin,Verify exact bridge/issuer identity and branding before alignment
USDC,56,BNB Chain,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USD Coin,Verify exact bridge/issuer identity and branding before alignment
